Counter,Question,Responses,Answer,Type,Difficulty_Level,More_info
1,Who wrote Mahabharata?,"Valmiki,Vishwamitra,Vedavyasa",Valmiki,Optional,2,TBD
2,Who was the father of Pandavas?,"Paandu, Vibheeshana,Bheeshma",Paandu,Answer,3,TBD
3,Mahabharata is the story of Kauravas and Pandavas,TRUE,TRUE,TF,1,TBD
4,Who is the grand father of Kauravas and Pandavas?,Bheeshma,Bheeshma,Answer,2,TBD
5,Who helped Vedavyasa write Mahabharata?,"Ganesha,Hanuman,Krishna",Ganesha,Optional,3,TBD
6,Karna was the son of Krishna,FALSE,FALSE,TF,2,TBD
7,Arjuna was the brother of Bheema,TRUE,TRUE,TF,1,TBD
8,What was Bheema's weapon?,"Bow,Mace,Sword",Mace,Optional,1,TBD
9,Kauravas were 98 brothers,FALSE,FALSE,TF,1,TBD
10,Who was the Guru or teacher of Kauravas and Pandavas?,"Drona,Valmiki,Vidura",Drona,Optional,2,TBD
11,What was the name of Arjuna's Bow?,Gaandeevam,Gandeevam,Answer,3,TBD
12,Who was the wife of Pandavas?,Draupadi,Draupadi,Answer,2,TBD
13,Who married Krishna's sister?,"Bheema,Duryodhana,Arjuna",Arjuna,Optional,3,TBD
14,Pandavas changed their identities and served in which King's court?,"Viraata,Karna,Nala",Viraata,Optional,3,TBD
15,Kunti and Madri were wives of Paandu,TRUE,TRUE,TF,2,TBD
16,What was the famous battle of Mahabharata called?,"Kurukshetra,Mahayudh",Kurukshetra,Answer,1,TBD
17,Dharmaraja was the eldest of Pandavas,TRUE,TRUE,TF,1,TBD
18,Who lied on the bed of arrows until death?,"Karna,Arjuna,Bheeshma",Bheeshma,Optional,2,TBD
19,How many chapters did Bhagavadgeeta have?,18,18,Answer,3,TBD
20,In which Yuga did Mahabharata take place?,"Tretha Yuga,Dwaapara Yuga,Kali Yuga",Dwaapara Yuga,Optional,2,TBD
21,Abhimanyu was the son of?,"Arjuna,Bheema,Yudhistara",Arjuna,Answer,1,TBD
22,Hidimba was wife of?,"Arjuna,Nakula,Bheema",Bheema,Optional,2,TBD
23,Who was the mother of Kauravas?,"Gaandhaari,Kunti,Radha",Gaandhaari,Optional,2,TBD
24,Who was the mother of Bheeshma?,"Ganga,Cauvery,Sarada",Ganga,Answer,2,TBD
25,Who was the Guru or teacher of Karna?,"Drona,Vidura,Parasurama",Parasurama,Optional,3,TBD
26,Duryodhana was the enemy of Karna,FALSE,FALSE,TF,1,TBD
27,Kauravas won the battle of Kurukshetra,FALSE,FALSE,TF,1,TBD
28,Who was known as Savyasachi?,"Arjuna,Sahadeva,Bheeshma",Arjuna,Optional,2,TBD
29,Who tried to kill pandavas by setting fire to the lax house they resided in ,Duryodhana,Duryodhana,Answer,2,TBD
30,Pandavas hid their weapons on a tree when in disguise,TRUE,TRUE,TF,1,TBD
31,In which language was Mahabharata written?,Sanskrit,Sanskrit,Answer,1,TBD
